player,n_shots,hh_raw,hh_adj,pval
LaMarcus Aldridge,287,0.0049544165771920785,-0.02249027583627009,1.772931518904013e-07
Randy Foye,113,-0.002401936288902282,-0.01716216901987695,0.00977041731026651
Rudy Gay,316,0.04219542336599298,0.012925893402727122,0.0015156857600778378
JJ Redick,193,0.022282675026486932,-0.005112055116491876,0.21158193907990128
Mike Dunleavy,135,-0.043683235654256004,-0.05020039505607458,4.685603252361237e-13
Kyle Lowry,170,-0.0448474769494522,-0.051928754581113665,3.175925933276477e-17
PJ Tucker,121,0.06124678488164772,0.04742878974105701,2.2718479614068369e-10
Paul Millsap,265,0.03130479235935745,0.00476098031750124,0.31034237547284416
Jose Juan Barea,105,0.0019692886053688614,0.005758172930410521,0.34144487141035496
Pau Gasol,271,-0.035407335697289516,-0.06303685968608894,1.489678966059465e-27
Joe Johnson,195,-0.0027302716453533452,-0.029509494617089203,3.9139319014607686e-07
Zach Randolph,291,0.013480778459778192,-0.020626595453402185,1.3979461829707982e-06
Tony Parker,279,0.048483507793593825,0.02387909997230258,2.4596685843630622e-08
Chris Paul,259,0.012314349329565313,-0.03269028243605297,4.0240452654369335e-12
Anthony Davis,311,0.005920088669396507,-0.01901519222974641,2.2268405845036515e-07
Bradley Beal,260,-0.0031412789764267745,-0.013147871496796132,0.0029364427666499094
Dion Waiters,209,0.047105354503950536,0.034952299939044466,1.810233910028908e-12
Damian Lillard,230,-0.02532119092293762,-0.05665490000026007,4.5341483197157073e-20
Terrence Ross,159,-0.06407213397134087,-0.07732865327509758,2.1573967389581275e-26
Andre Drummond,364,-0.019323670892749743,-0.021530694749890677,9.238215550711988e-12
Harrison Barnes,172,-0.026719665165960405,-0.0011629393516932778,0.8286062077786358
Evan Fournier,109,-0.04471068651415159,-0.06704522455922604,1.6755737769016395e-19
Jared Sullinger,153,0.0074903240450820375,-0.0005762963380130826,0.9150280347211396
Tony Wroten,96,0.024741420948120322,0.0010875096958858814,0.8545215315408716
Nene,220,0.01656574741691804,-0.019881871356119695,4.114026439454701e-06
Draymond Green,125,-0.05725889115656114,-0.035758498821950924,1.9357613494169572e-08
Khris Middleton,221,0.03489206408099264,0.006104070145958893,0.25268556155028665
Carlos Boozer,213,-0.013408381644281923,-0.04114191888350997,6.691945373598944e-16
Matt Barnes,139,0.02679939873638689,0.02435049783319367,3.528698840189218e-05
Luis Scola,142,0.03806203558332845,0.005805916361984487,0.3805940076537536
Victor Oladipo,178,-0.045920971474360125,-0.05817081336690778,3.63083467282611e-21
Kevin Durant,280,0.08128625082479238,0.05716598739569986,9.536320082957983e-26
Al Horford,243,0.03694255076871981,0.018477094067364593,1.658337019072833e-05
Mike Conley,190,0.006581220979312507,-0.0139203505658688,0.004834199769042171
Jeff Green,219,-0.009573846765428292,-0.014944955527157437,0.0008536520522149466
Corey Brewer,128,-0.04302245266001923,-0.0419458507358046,9.774588854380406e-12
Joakim Noah,168,0.016800036562712468,-0.003258176306955108,0.5124080722410604
Spencer Hawes,154,0.010247264963243234,-0.015377177818961404,0.009439757917920122
Thaddeus Young,324,-0.03937228974046739,-0.04707047297498396,2.258785955187604e-27
Rodney Stuckey,173,-0.01651800493081772,-0.05553683242068028,2.0251451439735025e-18
Nick Young,109,-0.06363741236669117,-0.09775748595106953,2.7386301683540006e-24
Marco Belinelli,132,-0.015373707426222889,-0.05556753931495593,3.5821033015860625e-13
Wilson Chandler,202,-0.025396319264889083,-0.04058321862239209,4.442658493343595e-16
Aaron Brooks,124,0.030447931135304335,-0.0010355593209518338,0.8577181182038085
Arron Afflalo,235,-0.02053578392202379,-0.042831609790234676,6.296585439746867e-17
Marc Gasol,260,-0.02140970709747804,-0.0444856378805733,3.3786401248921775e-16
LeBron James,272,-0.012228505329066013,-0.04943880271884373,4.152147334272274e-21
Chris Bosh,295,0.08526663773291399,0.031192966257355993,4.356915394956442e-11
Dwyane Wade,304,0.010453127958427892,-0.01759433498355278,1.276555920670356e-05
David West,258,0.07065158842501576,0.020061874622786687,5.4229126726888195e-06
Boris Diaw,175,0.05074492307517848,0.048418000614213745,2.508055845456477e-15
Mo Williams,110,0.01742257128659388,-0.004855538185651098,0.4785615502154036
Kyle Korver,176,0.05283502115164958,0.02186294625148845,5.781057772905619e-05
Jarrett Jack,109,0.004482060545778297,-0.017951923123453516,0.0055149388781350105
Dwight Howard,281,0.015562974853852758,-0.00831893102829261,0.033273364959571644
Luol Deng,213,-0.03885627465462571,-0.04242600524920504,1.1030261062403078e-18
Al Jefferson,359,-0.020509693200859252,-0.05166616854476934,5.780103680170205e-29
Josh Smith,263,-0.02893302590928662,-0.034099585829228174,1.9028857443217588e-13
J.R. Smith,139,-0.021796553873281135,-0.05333980061395744,3.7194923460928487e-14
Jameer Nelson,95,-0.0513914570899874,-0.05694335410207682,5.161338269554592e-12
Kevin Martin,171,0.018180007121335783,0.003292635826743251,0.49898314526173904
Ben McLemore,175,0.058683135606991864,0.044935672299355724,5.469123529682039e-14
Trevor Ariza,218,0.00879084554183666,0.009321283128341039,0.018443374805785798
Kentavious Caldwell-Pope,125,-0.0334172056458733,-0.05419444467945312,3.0511278142730165e-15
Michael Carter-Williams,202,-0.017335845028493075,-0.02262054447646248,6.201334094086463e-06
Tim Hardaway Jr.,139,0.021817465108587147,0.002124714198142704,0.7045696493495955
Trey Burke,154,-0.008195342002922,-0.026579775080425146,1.5547277784700877e-06
Giannis Antetokounmpo,118,-0.03536250524396156,-0.07063565243540347,1.0690859972807401e-19
Channing Frye,143,0.004165165503148577,-0.026924605652874852,7.214276798228079e-06
Deron Williams,176,0.03593098986562927,0.015412712610954013,0.0035820526277170247
Gerald Green,184,-0.052915189222237154,-0.06221310655542575,7.556114250798282e-22
David Lee,235,0.01301473972149137,0.006361373724408993,0.14610757876720498
Brandon Bass,209,-0.027531197618001997,-0.06354879099580206,6.497324961923439e-28
CJ Miles,141,0.011469086956207662,-0.0009467799059029685,0.8737391289554084
Ersan Ilyasova,137,0.030247147665866635,0.014382030189062221,0.008161064649730496
Monta Ellis,305,0.05144343349648458,0.033538254146137765,4.86520265384588e-16
Lou Williams,102,0.03081059895691278,0.011012309393552031,0.06508937863966657
Amir Johnson,224,-0.031375623393973616,-0.05726256354798779,1.1056500239248536e-20
Marcin Gortat,330,0.035372416665938794,0.01132371197278846,0.0018725485878413421
Jose Calderon,132,-0.03440127782441093,-0.0646089656908052,1.129351413024338e-15
O.J. Mayo,113,-0.13491546214680697,-0.1422456491079103,5.4276795245618335e-40
Russell Westbrook,172,-0.03925258195256151,-0.0728011890154348,1.8038430335687698e-27
Kevin Love,263,0.010216136794991724,-0.003639019015452912,0.34703899409920347
Eric Gordon,182,-0.011463107817866499,-0.05034602459952892,6.543631110165393e-16
D.J. Augustin,123,0.011794385906494865,-0.020242851575877716,0.0015963482454421365
Jerryd Bayless,125,-0.02558502555930721,-0.04409610226506102,8.431057667257579e-10
Robin Lopez,214,-0.001911973115722639,-0.001966700733861263,0.698488507507433
Marreese Speights,140,0.0005461528122756909,-0.014199139662905275,0.015793636369992828
Roy Hibbert,193,0.05215640242392314,0.022049262578491366,2.457251525901582e-05
JJ Hickson,182,0.021886469796315568,0.00524008056355135,0.27992031841212905
Courtney Lee,168,0.0005124959429744846,-0.024241965813533783,3.234312719121437e-05
Serge Ibaka,312,0.02368521428748835,0.0038735218115500845,0.3485938357175078
Nicolas Batum,189,-0.018206369225832932,-0.02691002394571419,4.497565265617143e-09
George Hill,128,-0.01776745404484495,-0.05605023387634241,4.340573813807038e-15
Mario Chalmers,133,-0.01946709245571132,-0.03289374912159397,1.6489320564927007e-07
Goran Dragic,317,0.010227461385091284,-0.011596890416131336,0.0021156393092104223
Anthony Morrow,111,-0.062033021213756444,-0.09159857102273868,2.729222743634248e-28
Carmelo Anthony,242,0.01865635220489592,-0.018395968221295505,0.00048058043173508186
Blake Griffin,451,0.005973351082099057,-0.026410059088443103,4.37495983068356e-14
James Harden,209,0.0033861463101803246,-0.023398325843586826,4.538253448434673e-06
Tyreke Evans,189,0.01320842807726822,-0.018469952193727865,2.016299487594356e-05
Stephen Curry,300,-0.025269038384147798,-0.0470540522715892,2.3646602320379315e-23
Jordan Hill,189,0.10031521070683543,0.06901297747018575,1.4232491808379653e-24
DeMar DeRozan,230,-0.0461674914702042,-0.056415671181767636,1.5658291655351843e-25
Brandon Jennings,123,-0.04450908612716484,-0.06239664654117891,1.717203742523934e-19
Gerald Henderson,245,-0.0028174025472082814,-0.009228303349844914,0.0651470977103338
Ty Lawson,142,-0.04941325907592264,-0.07269808826453311,6.179861630573642e-23
Jeff Teague,206,-0.026622060668827854,-0.04708294942967942,2.970718713366886e-17
Darren Collison,127,0.021385626369822285,-0.01966817163087995,0.0006985907451678851
Taj Gibson,218,0.0028551436151705283,-0.016905781539791595,0.00013672420243965872
DeMarre Carroll,198,0.015649079066116896,0.003642792487769905,0.4247594920804062
Jodie Meeks,187,0.024457418536342826,0.009330103777492214,0.09475575973909939
Danny Green,131,0.008937846640611303,-0.0071973896777185135,0.20681340726019132
Wesley Matthews,206,-0.06352176339786038,-0.07849867490052462,1.5060372041979162e-30
Tim Duncan,284,0.024384693608228435,0.011549560135980786,0.006186696852289159
John Wall,165,0.006486681694802573,-0.015370732895843797,0.003506929689182984
Evan Turner,186,0.013303672277166816,0.005833676076072059,0.21856133179560627
Derrick Favors,289,-0.05714882000887022,-0.07106320301134651,5.6800162435112216e-33
Wesley Johnson,117,-0.020530560617916867,-0.029575838188219537,1.2500993446149157e-05
DeMarcus Cousins,313,-0.03769738282742221,-0.07036105481290503,1.3301241269884489e-31
Greg Monroe,289,0.01504784577272037,-0.02459631777467916,1.0291905880215978e-09
Gordon Hayward,181,-0.0019448780651603636,-0.03494116597982226,5.383090916805548e-12
Paul George,82,-0.049005526871273075,-0.0724214596429093,2.9958783097017166e-14
Eric Bledsoe,186,-0.006121867592485914,-0.042913077190427605,2.9726305801051563e-12
Avery Bradley,219,0.0070170298970801005,-0.018818999525291504,0.00014475025827015103
Greivis Vasquez,178,0.010039763094678068,0.001109415260351496,0.8346916012347667
Lance Stephenson,186,-0.009342013131787858,-0.035972754324556835,2.2386684225839216e-09
Timofey Mozgov,182,-0.016059990682495466,-0.012514033319458821,0.01014246453403201
Jeremy Lin,139,-0.015184041437780767,-0.02282064705259045,2.8137574974270264e-05
Vince Carter,98,-0.10519385477776248,-0.07791236418528642,1.1944113780801097e-17
Dirk Nowitzki,320,0.04210280502458911,-0.04181902612245764,1.2309518452154472e-16
Paul Pierce,182,0.06517631525470005,0.020298735320787503,5.313571871100821e-05
Manu Ginobili,75,-0.08917562118731982,-0.12288608029646722,7.160961621217746e-31
Isaiah Thomas,115,-0.08513418793529881,-0.13067980978489532,1.925057835501501e-38
Kyrie Irving,242,0.02536605971391272,-0.029700614227458764,8.677886491889883e-10
Enes Kanter,332,0.08112359301646775,0.027848458470974904,3.754806509739007e-14
Tristan Thompson,203,0.024283269224634293,0.010696591151860805,0.019466096929404972
Jonas Valanciunas,263,0.012892287875900622,-0.01786527337207934,3.090339641097807e-05
Brandon Knight,216,0.005190876011712633,-0.02732007942142439,1.221012055817179e-07
